date,value
1950-04-18,93.4000
1950-04-19,93.2300
1950-04-20,92.8300
1950-04-21,92.5600
1950-04-24,92.5900
1950-04-25,95.1400
1950-04-26,96.9600
1950-04-27,96.6700
1950-04-28,99.3100
1950-05-01,103.7800
1950-05-02,103.0100
1950-05-04,102.4900
1950-05-08,100.2600
1950-05-09,98.7200
1950-05-10,99.0300
1950-05-11,98.5500
1950-05-12,97.2300
1950-05-15,96.0500
1950-05-16,95.1600
1950-05-17,96.1000
1950-05-18,96.0200
1950-05-19,97.7200
1950-05-22,96.8700
1950-05-23,95.7800
1950-05-24,95.5800
1950-05-25,94.8700
1950-05-26,94.2100
1950-05-29,93.6100
1950-05-30,93.9700
1950-05-31,94.2200
1950-06-01,94.2200
1950-06-02,93.9400
1950-06-05,94.6800
1950-06-06,94.1200
1950-06-07,93.3900
1950-06-08,92.7400
1950-06-09,92.2800
1950-06-12,91.4700
1950-06-13,90.2200
1950-06-14,89.0800
1950-06-15,89.2200
1950-06-16,89.8600
1950-06-19,88.9000
1950-06-20,88.9000
1950-06-21,89.8900
1950-06-22,90.0300
1950-06-23,90.5900
1950-06-26,92.7500
1950-06-27,90.8400
1950-06-28,90.1600
1950-06-29,88.9500
1950-06-30,86.1700
1950-07-03,85.6500
1950-07-04,85.8400
1950-07-05,85.4100
1950-07-06,85.2500
1950-07-07,85.6000
1950-07-10,86.0400
1950-07-11,89.2600
1950-07-12,93.5400
1950-07-13,94.8000
1950-07-14,98.4000
1950-07-17,109.3400
1950-07-18,104.8600
1950-07-19,103.2100
1950-07-20,103.1400
1950-07-21,101.5800
1950-07-24,103.1600
1950-07-25,103.0700
1950-07-26,102.2300
1950-07-27,100.8800
1950-07-28,100.2400
1950-07-31,97.5900
1950-08-01,99.5100
1950-08-02,99.1100
1950-08-03,99.1000
1950-08-04,100.5200
1950-08-07,103.1600
1950-08-08,103.4900
1950-08-09,103.0400
1950-08-10,103.7800
1950-08-11,105.2600
1950-08-14,105.3300
1950-08-15,106.2400
1950-08-16,108.0200
1950-08-17,110.1500
1950-08-18,112.5800
1950-08-21,114.9900
1950-08-22,114.8200
1950-08-23,114.3600
1950-08-24,112.4400
1950-08-25,111.3900
1950-08-28,112.0600
1950-08-29,113.2400
1950-08-30,114.5900
1950-08-31,114.5500
1950-09-01,113.4600
1950-09-04,111.2500
1950-09-05,111.4800
1950-09-06,112.0600
1950-09-07,110.8200
1950-09-08,108.3900
1950-09-11,108.2600
1950-09-12,108.2300
1950-09-13,108.5200
1950-09-14,109.4800
1950-09-15,110.3500
1950-09-18,109.2800
1950-09-19,108.4600
1950-09-20,107.2400
1950-09-21,108.2200
1950-09-22,107.2200
1950-09-25,104.9500
1950-09-26,105.5200
1950-09-27,105.4100
